,feature1,feature2,feature3
91,HOMO,B1,νCNsas
92,HOMO,B1,iCNsas
93,HOMO,B5,BL
94,HOMO,B5,Volavg X
95,HOMO,B5,NBOC1
96,HOMO,B5,NBON1
97,HOMO,B5,NBOC2
98,HOMO,B5,NBOC3
99,HOMO,B5,NBOX
100,HOMO,B5,NBOC4
101,HOMO,B5,νCNssy
102,HOMO,B5,iCNssy
103,HOMO,B5,νCNsas
104,HOMO,B5,iCNsas
105,HOMO,BL,Volavg X
106,HOMO,BL,NBOC1
107,HOMO,BL,NBON1
108,HOMO,BL,NBOC2
109,HOMO,BL,NBOC3
110,HOMO,BL,NBOX
111,HOMO,BL,NBOC4
112,HOMO,BL,νCNssy
113,HOMO,BL,iCNssy
114,HOMO,BL,νCNsas
115,HOMO,BL,iCNsas
116,HOMO,Volavg X,NBOC1
117,HOMO,Volavg X,NBON1
118,HOMO,Volavg X,NBOC2
119,HOMO,Volavg X,NBOC3
120,HOMO,Volavg X,NBOX
